ID,Cancer
test_498,Malignant
test_499,Malignant
test_500,Benign
test_501,Malignant
test_502,Benign
test_503,Benign
test_504,Malignant
test_505,Malignant
test_506,Malignant
test_507,Malignant
test_508,Malignant
test_509,Benign
test_510,Malignant
test_511,Benign
test_512,Malignant
test_513,Benign
test_514,Malignant
test_515,Malignant
test_516,Malignant
test_517,Benign
test_518,Malignant
test_519,Malignant
test_520,Benign
test_521,Benign
test_522,Benign
test_523,Malignant
test_524,Benign
test_525,Malignant
test_526,Benign
test_527,Benign
test_528,Malignant
test_529,Malignant
test_530,Malignant
test_531,Malignant
test_532,Malignant
test_533,Malignant
test_534,Malignant
test_535,Malignant
test_536,Malignant
test_537,Benign
test_538,Benign
test_539,Malignant
test_540,Malignant
test_541,Malignant
test_542,Malignant
test_543,Benign
test_544,Benign
test_545,Benign
test_546,Malignant
test_547,Malignant
test_548,Benign
test_549,Malignant
test_550,Benign
test_551,Malignant
test_552,Benign
test_553,Benign
test_554,Benign
test_555,Benign
test_556,Benign
test_557,Malignant
test_558,Benign
test_559,Malignant
test_560,Benign
test_561,Benign
test_562,Malignant
test_563,Benign
test_564,Benign
test_565,Malignant
test_566,Benign
test_567,Malignant
test_568,Malignant
test_569,Benign
test_570,Malignant
test_571,Malignant
test_572,Benign
test_573,Malignant
test_574,Benign
test_575,Malignant
test_576,Benign
test_577,Malignant
test_578,Benign
test_579,Malignant
test_580,Benign
test_581,Benign
test_582,Benign
test_583,Malignant
test_584,Benign
test_585,Benign
test_586,Malignant
test_587,Malignant
test_588,Benign
test_589,Benign
test_590,Malignant
test_591,Malignant
test_592,Malignant
test_593,Malignant
test_594,Malignant
test_595,Benign
test_596,Malignant
test_597,Malignant
test_598,Malignant
test_599,Benign
test_600,Benign
test_601,Benign
test_602,Malignant
test_603,Benign
test_604,Benign
test_605,Malignant
test_606,Malignant
test_607,Benign
test_608,Malignant
test_609,Malignant
test_610,Malignant
test_611,Benign
test_612,Malignant
test_613,Benign
test_614,Malignant
test_615,Benign
test_616,Benign
test_617,Malignant
test_618,Benign
test_619,Malignant
test_620,Benign
test_621,Malignant
test_622,Benign
test_623,Benign
test_624,Benign
test_625,Malignant
test_626,Malignant
test_627,Malignant
test_628,Benign
test_629,Malignant
test_630,Benign
test_631,Malignant
test_632,Malignant
test_633,Benign
test_634,Benign
test_635,Malignant
test_636,Malignant
test_637,Malignant
test_638,Malignant
test_639,Malignant
test_640,Malignant
test_641,Malignant
test_642,Malignant
test_643,Malignant
test_644,Benign
test_645,Malignant
test_646,Benign
test_647,Malignant
test_648,Malignant
test_649,Malignant
test_650,Benign
test_651,Benign
test_652,Benign
test_653,Benign
test_654,Benign
test_655,Malignant
test_656,Malignant
test_657,Benign
test_658,Malignant
test_659,Benign
test_660,Malignant
test_661,Malignant
test_662,Malignant
test_663,Malignant
test_664,Malignant
test_665,Malignant
test_666,Benign
test_667,Benign
test_668,Benign
test_669,Benign
test_670,Benign
test_671,Malignant
test_672,Benign
test_673,Malignant
test_674,Malignant
test_675,Benign
test_676,Malignant
test_677,Malignant
test_678,Benign
test_679,Benign
test_680,Malignant
test_681,Benign
test_682,Benign
test_683,Benign
test_684,Malignant
test_685,Malignant
test_686,Benign
test_687,Malignant
test_688,Malignant
test_689,Benign
test_690,Benign
test_691,Malignant
test_692,Malignant
test_693,Malignant
test_694,Benign
test_695,Benign
test_696,Benign
test_697,Benign
test_698,Benign
test_699,Malignant
test_700,Malignant
test_701,Malignant
test_702,Benign
test_703,Malignant
test_704,Benign
test_705,Benign
test_706,Malignant
test_707,Malignant
test_708,Malignant
test_709,Benign
test_710,Benign
test_711,Benign
test_712,Malignant
test_713,Malignant
test_714,Benign
test_715,Benign
test_716,Malignant
test_717,Malignant
test_718,Benign
test_719,Benign
test_720,Malignant
test_721,Benign
test_722,Benign
test_723,Benign
test_724,Malignant
test_725,Benign
test_726,Malignant
test_727,Malignant
test_728,Malignant
test_729,Malignant
test_730,Malignant
test_731,Malignant
test_732,Benign
test_733,Benign
test_734,Benign
test_735,Malignant
test_736,Malignant
test_737,Malignant
test_738,Malignant
test_739,Malignant
test_740,Malignant
test_741,Benign
test_742,Malignant
test_743,Benign
test_744,Malignant
test_745,Benign
test_746,Benign
test_747,Benign
test_748,Malignant
test_749,Benign
test_750,Malignant
test_751,Malignant
test_752,Benign
test_753,Malignant
test_754,Benign
test_755,Malignant
test_756,Benign
test_757,Malignant
test_758,Benign
test_759,Benign
test_760,Malignant
test_761,Malignant
test_762,Malignant
test_763,Malignant
test_764,Benign
test_765,Malignant
test_766,Benign
test_767,Benign
test_768,Malignant
test_769,Benign
test_770,Benign
test_771,Malignant
test_772,Malignant
test_773,Malignant
test_774,Benign
test_775,Malignant
test_776,Malignant
test_777,Malignant
test_778,Malignant
test_779,Benign
test_780,Benign
test_781,Benign
test_782,Benign
test_783,Benign
test_784,Malignant
test_785,Benign
test_786,Malignant
test_787,Benign
test_788,Benign
test_789,Benign
test_790,Benign
test_791,Malignant
test_792,Benign
test_793,Benign
test_794,Malignant
test_795,Benign
test_796,Malignant
test_797,Malignant
test_798,Benign
test_799,Malignant
test_800,Benign
test_801,Malignant
test_802,Malignant
test_803,Malignant
test_804,Malignant
test_805,Malignant
test_806,Malignant
test_807,Malignant
test_808,Benign
test_809,Benign
test_810,Malignant
test_811,Malignant
test_812,Malignant
test_813,Malignant
test_814,Benign
test_815,Malignant
test_816,Malignant
test_817,Benign
test_818,Malignant
test_819,Benign
test_820,Malignant
test_821,Benign
test_822,Benign
test_823,Benign
test_824,Benign
test_825,Malignant
test_826,Malignant
test_827,Benign
test_828,Malignant
test_829,Benign
test_830,Benign
test_831,Benign
test_832,Benign
test_833,Malignant
test_834,Benign
test_835,Benign
test_836,Benign
test_837,Benign
test_838,Malignant
test_839,Malignant
test_840,Malignant
test_841,Malignant
test_842,Malignant
test_843,Benign
test_844,Malignant
test_845,Benign
test_846,Malignant
test_847,Benign
test_848,Malignant
test_849,Malignant
test_850,Malignant
test_851,Malignant
test_852,Benign
test_853,Benign
test_854,Malignant
test_855,Malignant
test_856,Benign
test_857,Malignant
test_858,Malignant
test_859,Malignant
test_860,Benign
test_861,Benign
test_862,Benign
test_863,Benign
test_864,Malignant
test_865,Benign
test_866,Malignant
test_867,Benign
test_868,Malignant
test_869,Benign
test_870,Malignant
test_871,Malignant
test_872,Malignant
test_873,Malignant
test_874,Benign
test_875,Benign
test_876,Benign
test_877,Malignant
test_878,Malignant
test_879,Benign
test_880,Malignant
test_881,Malignant
test_882,Benign
test_883,Malignant
test_884,Malignant
test_885,Benign
test_886,Malignant
test_887,Benign
test_888,Malignant
test_889,Benign
test_890,Benign
test_891,Malignant
test_892,Benign
test_893,Benign
test_894,Benign
test_895,Benign
test_896,Malignant
test_897,Malignant
test_898,Malignant
test_899,Malignant
test_900,Malignant
test_901,Malignant
test_902,Malignant
test_903,Benign
test_904,Benign
test_905,Benign
test_906,Benign
test_907,Benign
test_908,Benign
test_909,Benign
test_910,Malignant
test_911,Malignant
test_912,Benign
test_913,Benign
test_914,Malignant
test_915,Malignant
test_916,Benign
test_917,Benign
test_918,Malignant
test_919,Malignant
test_920,Malignant
test_921,Benign
test_922,Malignant
test_923,Benign
test_924,Malignant
test_925,Malignant
test_926,Benign
test_927,Malignant
test_928,Malignant
test_929,Benign
test_930,Benign
test_931,Benign
test_932,Malignant
test_933,Benign
test_934,Benign
test_935,Benign
test_936,Benign
test_937,Malignant
test_938,Benign
test_939,Benign
test_940,Malignant
test_941,Malignant
test_942,Malignant
test_943,Benign
test_944,Malignant
test_945,Malignant
test_946,Benign
test_947,Malignant
test_948,Benign
test_949,Benign
test_950,Benign
test_951,Benign
test_952,Malignant
test_953,Benign
test_954,Malignant
test_955,Benign
test_956,Malignant
test_957,Benign
test_958,Benign
test_959,Malignant
test_960,Malignant
test_961,Benign
test_962,Benign
test_963,Malignant
test_964,Benign
test_965,Malignant
test_966,Malignant
test_967,Benign
test_968,Malignant
test_969,Benign
test_970,Malignant
test_971,Benign
test_972,Benign
test_973,Benign
test_974,Benign
test_975,Malignant
test_976,Benign
test_977,Benign
test_978,Malignant
test_979,Benign
test_980,Malignant
test_981,Benign
test_982,Malignant
test_983,Benign
test_984,Malignant
test_985,Malignant
test_986,Benign
test_987,Malignant
test_988,Malignant
test_989,Malignant
test_990,Malignant
test_991,Malignant
test_992,Malignant
test_993,Benign
test_994,Benign
test_995,Malignant
test_996,Benign
test_997,Malignant
test_998,Malignant
test_999,Malignant
test_1000,Malignant
test_1001,Malignant
test_1002,Benign
test_1003,Malignant
test_1004,Benign
test_1005,Benign
test_1006,Benign
test_1007,Malignant
test_1008,Malignant
test_1009,Benign
test_1010,Malignant
test_1011,Benign
test_1012,Benign
test_1013,Malignant
test_1014,Benign
test_1015,Malignant
test_1016,Malignant
test_1017,Malignant
test_1018,Benign
test_1019,Benign
test_1020,Malignant
test_1021,Benign
test_1022,Benign
test_1023,Malignant
test_1024,Malignant
test_1025,Benign
test_1026,Malignant
test_1027,Malignant
test_1028,Malignant
test_1029,Malignant
test_1030,Malignant
test_1031,Benign
test_1032,Benign
test_1033,Malignant
test_1034,Malignant
test_1035,Malignant
test_1036,Malignant
test_1037,Malignant
test_1038,Benign
test_1039,Benign
test_1040,Benign
test_1041,Benign
test_1042,Malignant
test_1043,Benign
test_1044,Malignant
test_1045,Malignant
test_1046,Benign
test_1047,Benign
test_1048,Benign
test_1049,Malignant
test_1050,Malignant
test_1051,Malignant
test_1052,Malignant
test_1053,Malignant
test_1054,Malignant
test_1055,Malignant
test_1056,Malignant
test_1057,Malignant
test_1058,Malignant
test_1059,Benign
test_1060,Malignant
test_1061,Malignant
test_1062,Malignant
test_1063,Malignant
test_1064,Benign
test_1065,Benign
test_1066,Benign
test_1067,Malignant
test_1068,Malignant
test_1069,Malignant
test_1070,Malignant
test_1071,Benign
test_1072,Benign
test_1073,Malignant
test_1074,Benign
test_1075,Benign
test_1076,Malignant
test_1077,Malignant
test_1078,Benign
test_1079,Malignant
test_1080,Malignant
test_1081,Malignant
test_1082,Malignant
test_1083,Benign
test_1084,Malignant
test_1085,Malignant
test_1086,Malignant
test_1087,Benign
test_1088,Benign
test_1089,Malignant
test_1090,Malignant
test_1091,Benign
test_1092,Malignant
test_1093,Malignant
test_1094,Benign
test_1095,Malignant
test_1096,Benign
test_1097,Malignant
test_1098,Malignant
test_1099,Malignant
test_1100,Benign
test_1101,Malignant
test_1102,Malignant
test_1103,Malignant
test_1104,Malignant
test_1105,Malignant
test_1106,Malignant
test_1107,Benign
test_1108,Malignant
test_1109,Malignant
test_1110,Malignant
test_1111,Benign
test_1112,Malignant
test_1113,Benign
test_1114,Benign
test_1115,Benign
test_1116,Malignant
test_1117,Malignant
test_1118,Malignant
test_1119,Benign
test_1120,Malignant
test_1121,Malignant
test_1122,Malignant
test_1123,Malignant
test_1124,Malignant
test_1125,Benign
test_1126,Malignant
test_1127,Benign
test_1128,Benign
test_1129,Malignant
test_1130,Benign
test_1131,Benign
test_1132,Benign
test_1133,Malignant
test_1134,Malignant
test_1135,Malignant
test_1136,Malignant
test_1137,Benign
test_1138,Malignant
test_1139,Malignant
test_1140,Malignant
test_1141,Benign
test_1142,Benign
test_1143,Malignant
test_1144,Malignant
test_1145,Benign
test_1146,Benign
test_1147,Benign
test_1148,Malignant
test_1149,Malignant
test_1150,Benign
test_1151,Benign
test_1152,Benign
test_1153,Malignant
test_1154,Malignant
test_1155,Benign
test_1156,Benign
test_1157,Malignant
test_1158,Malignant
test_1159,Malignant
test_1160,Benign
test_1161,Malignant
test_1162,Malignant
test_1163,Malignant
test_1164,Benign
test_1165,Benign
test_1166,Benign
test_1167,Benign
test_1168,Benign
test_1169,Malignant
test_1170,Benign
test_1171,Benign
test_1172,Benign
test_1173,Malignant
test_1174,Malignant
test_1175,Malignant
test_1176,Benign
test_1177,Malignant
test_1178,Benign
test_1179,Malignant
test_1180,Malignant
test_1181,Malignant
test_1182,Benign
test_1183,Benign
test_1184,Malignant
test_1185,Malignant
test_1186,Benign
test_1187,Benign
test_1188,Benign
test_1189,Benign
test_1190,Malignant
test_1191,Malignant
test_1192,Benign
test_1193,Benign
test_1194,Benign
test_1195,Benign
test_1196,Malignant
test_1197,Malignant
test_1198,Benign
test_1199,Benign
test_1200,Benign
test_1201,Benign
test_1202,Malignant
test_1203,Benign
test_1204,Malignant
test_1205,Malignant
test_1206,Malignant
test_1207,Benign
test_1208,Malignant
test_1209,Benign
test_1210,Malignant
test_1211,Malignant
test_1212,Malignant
test_1213,Malignant
test_1214,Malignant
test_1215,Benign
test_1216,Benign
test_1217,Benign
test_1218,Malignant
test_1219,Benign
test_1220,Benign
test_1221,Benign
test_1222,Benign
test_1223,Benign
test_1224,Benign
test_1225,Malignant
test_1226,Benign
test_1227,Benign
test_1228,Benign
test_1229,Malignant
test_1230,Malignant
test_1231,Malignant
test_1232,Benign
test_1233,Benign
test_1234,Malignant
test_1235,Benign
test_1236,Malignant
test_1237,Malignant
test_1238,Malignant
test_1239,Benign
test_1240,Malignant
test_1241,Benign
test_1242,Benign
test_1243,Benign
test_1244,Benign
test_1245,Malignant
test_1246,Malignant
test_1247,Malignant
test_1248,Benign
test_1249,Malignant
test_1250,Benign
test_1251,Malignant
test_1252,Benign
test_1253,Benign
test_1254,Benign
test_1255,Malignant
test_1256,Benign
test_1257,Malignant
test_1258,Benign
test_1259,Malignant
test_1260,Malignant
test_1261,Malignant
test_1262,Malignant
test_1263,Malignant
test_1264,Malignant
test_1265,Benign
test_1266,Benign
test_1267,Malignant
test_1268,Benign
test_1269,Benign
test_1270,Malignant
test_1271,Malignant
test_1272,Benign
test_1273,Malignant
test_1274,Malignant
test_1275,Malignant
test_1276,Benign
test_1277,Malignant
test_1278,Malignant
test_1279,Benign
test_1280,Benign
test_1281,Malignant
test_1282,Malignant
test_1283,Benign
test_1284,Malignant
test_1285,Malignant
test_1286,Benign
test_1287,Benign
test_1288,Benign
test_1289,Benign
test_1290,Benign
test_1291,Benign
test_1292,Malignant
test_1293,Malignant
test_1294,Malignant
test_1295,Malignant
test_1296,Malignant
test_1297,Malignant
test_1298,Benign
test_1299,Malignant
test_1300,Malignant
test_1301,Malignant
test_1302,Benign
test_1303,Benign
test_1304,Malignant
test_1305,Malignant
test_1306,Benign
test_1307,Malignant
test_1308,Benign
test_1309,Malignant
test_1310,Benign
test_1311,Malignant
test_1312,Benign
test_1313,Malignant
test_1314,Benign
test_1315,Benign
test_1316,Benign
test_1317,Benign
test_1318,Malignant
test_1319,Malignant
test_1320,Benign
test_1321,Malignant
test_1322,Benign
test_1323,Malignant
test_1324,Malignant
test_1325,Benign
test_1326,Benign
test_1327,Malignant
test_1328,Benign
test_1329,Malignant
test_1330,Benign
test_1331,Malignant
test_1332,Benign
test_1333,Malignant
test_1334,Benign
test_1335,Malignant
test_1336,Benign
test_1337,Benign
test_1338,Malignant
test_1339,Benign
test_1340,Benign
test_1341,Malignant
test_1342,Malignant
test_1343,Malignant
test_1344,Benign
test_1345,Malignant
test_1346,Malignant
test_1347,Benign
test_1348,Malignant
test_1349,Malignant
test_1350,Benign
test_1351,Benign
test_1352,Malignant
test_1353,Benign
test_1354,Benign
test_1355,Benign
test_1356,Malignant
test_1357,Malignant
test_1358,Malignant
test_1359,Malignant
test_1360,Benign
test_1361,Malignant
test_1362,Malignant
test_1363,Malignant
test_1364,Malignant
test_1365,Benign
test_1366,Benign
test_1367,Benign
test_1368,Malignant
test_1369,Malignant
test_1370,Malignant
test_1371,Malignant
test_1372,Benign
test_1373,Malignant
test_1374,Benign
test_1375,Benign
test_1376,Benign
test_1377,Benign
test_1378,Benign
test_1379,Benign
test_1380,Malignant
test_1381,Malignant
test_1382,Malignant
test_1383,Benign
test_1384,Benign
test_1385,Malignant
test_1386,Benign
test_1387,Malignant
test_1388,Benign
test_1389,Malignant
test_1390,Benign
test_1391,Benign
test_1392,Malignant
test_1393,Malignant
test_1394,Malignant
test_1395,Malignant
test_1396,Benign
test_1397,Malignant
test_1398,Benign
test_1399,Malignant
test_1400,Malignant
test_1401,Benign
test_1402,Benign
test_1403,Malignant
test_1404,Malignant
test_1405,Malignant
test_1406,Benign
test_1407,Malignant
test_1408,Benign
test_1409,Benign
test_1410,Malignant
test_1411,Malignant
test_1412,Benign
test_1413,Malignant
test_1414,Benign
test_1415,Benign
test_1416,Malignant
test_1417,Malignant
test_1418,Malignant
test_1419,Benign
test_1420,Benign
test_1421,Benign
test_1422,Malignant
test_1423,Benign
test_1424,Malignant
test_1425,Benign
test_1426,Benign
test_1427,Benign
test_1428,Malignant
test_1429,Malignant
test_1430,Benign
test_1431,Malignant
test_1432,Malignant
test_1433,Malignant
test_1434,Benign
test_1435,Benign
test_1436,Benign
test_1437,Benign
test_1438,Malignant
test_1439,Benign
test_1440,Benign
test_1441,Malignant
test_1442,Benign
test_1443,Benign
test_1444,Benign
test_1445,Benign
test_1446,Malignant
test_1447,Malignant
test_1448,Benign
test_1449,Benign
test_1450,Benign
test_1451,Malignant
test_1452,Malignant
test_1453,Malignant
test_1454,Malignant
test_1455,Benign
test_1456,Benign
test_1457,Benign
test_1458,Malignant
test_1459,Malignant
test_1460,Benign
test_1461,Benign
test_1462,Benign
test_1463,Benign
test_1464,Benign
test_1465,Benign
test_1466,Malignant
test_1467,Malignant
test_1468,Malignant
test_1469,Malignant
test_1470,Benign
test_1471,Benign
test_1472,Benign
test_1473,Benign
test_1474,Benign
test_1475,Benign
test_1476,Malignant
test_1477,Benign
test_1478,Malignant
test_1479,Malignant
test_1480,Benign
test_1481,Malignant
test_1482,Benign
test_1483,Benign
test_1484,Benign
test_1485,Malignant
test_1486,Benign
test_1487,Benign
test_1488,Malignant
test_1489,Benign
test_1490,Benign
test_1491,Benign
test_1492,Malignant
test_1493,Benign
test_1494,Benign
test_1495,Benign
test_1496,Benign
test_1497,Malignant
test_1498,Benign
test_1499,Malignant
test_1500,Malignant
test_1501,Benign
test_1502,Malignant
test_1503,Benign
test_1504,Malignant
test_1505,Malignant
test_1506,Malignant
test_1507,Malignant
test_1508,Benign
test_1509,Malignant
test_1510,Malignant
test_1511,Benign
test_1512,Malignant
test_1513,Malignant
test_1514,Benign
test_1515,Malignant
test_1516,Malignant
test_1517,Benign
test_1518,Benign
test_1519,Benign
test_1520,Malignant
test_1521,Benign
test_1522,Malignant
test_1523,Malignant
test_1524,Malignant
test_1525,Malignant
test_1526,Malignant
test_1527,Malignant
test_1528,Malignant
test_1529,Malignant
test_1530,Benign
test_1531,Malignant
test_1532,Benign
test_1533,Malignant
test_1534,Malignant
test_1535,Benign
test_1536,Malignant
test_1537,Malignant
test_1538,Malignant
test_1539,Benign
test_1540,Malignant
test_1541,Malignant
test_1542,Malignant
test_1543,Malignant
test_1544,Benign
test_1545,Benign
test_1546,Malignant
test_1547,Malignant
test_1548,Malignant
test_1549,Malignant
test_1550,Benign
test_1551,Malignant
test_1552,Malignant
test_1553,Benign
test_1554,Benign
test_1555,Malignant
test_1556,Benign
test_1557,Malignant
test_1558,Benign
test_1559,Malignant
test_1560,Benign
test_1561,Benign
test_1562,Malignant
test_1563,Benign
test_1564,Benign
test_1565,Malignant
test_1566,Malignant
test_1567,Malignant
test_1568,Malignant
test_1569,Benign
test_1570,Malignant
